fiscal_year,fiscal_quarter,leader_team,expense_category,budget_amount,memo
2026,3,ゆずるん統括隊,タダメン業務委託費,3134823,第3Q仮予算 (シロロ+ゆずるん統括隊として)
2026,3,ゆずるん統括隊,旅費交通費,125490,第3Q仮予算
2026,3,ゆずるん統括隊,消耗品費,134639,第3Q仮予算
2026,3,ゆずるん統括隊,通信運搬費,0,第3Q仮予算
2026,3,ゆずるん統括隊,広告宣伝費,1500000,第3Q仮予算
2026,3,ゆずるん統括隊,自由に使える10万円,100000,第3Q仮予算
2026,3,ゆずるん統括隊,共通費,294411,第3Q仮予算
2026,3,ヤスス＋ヒデデン統括隊,タダメン業務委託費,3088703,第3Q仮予算
2026,3,ヤスス＋ヒデデン統括隊,旅費交通費,177364,第3Q仮予算
2026,3,ヤスス＋ヒデデン統括隊,消耗品費,110251,第3Q仮予算
2026,3,ヤスス＋ヒデデン統括隊,通信運搬費,0,第3Q仮予算
2026,3,ヤスス＋ヒデデン統括隊,広告宣伝費,0,第3Q仮予算
2026,3,ヤスス＋ヒデデン統括隊,自由に使える10万円,100000,第3Q仮予算
2026,3,ヤスス＋ヒデデン統括隊,共通費,294411,第3Q仮予算
2026,3,ノブブ統括隊,タダメン業務委託費,185203,第3Q仮予算
2026,3,ノブブ統括隊,旅費交通費,0,第3Q仮予算
2026,3,ノブブ統括隊,消耗品費,172500,第3Q仮予算
2026,3,ノブブ統括隊,通信運搬費,0,第3Q仮予算
2026,3,ノブブ統括隊,広告宣伝費,0,第3Q仮予算
2026,3,ノブブ統括隊,自由に使える10万円,100000,第3Q仮予算
2026,3,ノブブ統括隊,共通費,196274,第3Q仮予算
2026,3,つくつく統括隊,タダメン業務委託費,8437944,第3Q仮予算
2026,3,つくつく統括隊,旅費交通費,1477978,第3Q仮予算
2026,3,つくつく統括隊,消耗品費,566157,第3Q仮予算
2026,3,つくつく統括隊,通信運搬費,251368,第3Q仮予算
2026,3,つくつく統括隊,広告宣伝費,0,第3Q仮予算
2026,3,つくつく統括隊,自由に使える10万円,100000,第3Q仮予算
2026,3,つくつく統括隊,共通費,196274,第3Q仮予算
2026,3,ミヤヤ統括隊,タダメン業務委託費,1561413,第3Q仮予算
2026,3,ミヤヤ統括隊,旅費交通費,0,第3Q仮予算
2026,3,ミヤヤ統括隊,消耗品費,73500,第3Q仮予算
2026,3,ミヤヤ統括隊,通信運搬費,0,第3Q仮予算
2026,3,ミヤヤ統括隊,広告宣伝費,0,第3Q仮予算
2026,3,ミヤヤ統括隊,自由に使える10万円,100000,第3Q仮予算
2026,3,ミヤヤ統括隊,共通費,196274,第3Q仮予算
2026,3,タケルン＋まこと統括隊,タダメン業務委託費,277805,第3Q仮予算
2026,3,タケルン＋まこと統括隊,旅費交通費,0,第3Q仮予算
2026,3,タケルン＋まこと統括隊,消耗品費,110251,第3Q仮予算
2026,3,タケルン＋まこと統括隊,通信運搬費,0,第3Q仮予算
2026,3,タケルン＋まこと統括隊,広告宣伝費,0,第3Q仮予算
2026,3,タケルン＋まこと統括隊,自由に使える10万円,100000,第3Q仮予算
2026,3,タケルン＋まこと統括隊,共通費,294411,第3Q仮予算
